182	4	(-6.2146300000000005, 53.385599999999997) (-6.2146300000000005, 53.385599999999997) (-6.2126199999999994, 53.3825) (-6.2104499999999998, 53.379800000000003)
186	1	(-6.3972199999999999, 53.393300000000004)
189	2	(-6.3911699999999998, 53.394500000000001) (-6.3911699999999998, 53.394500000000001)
192	1	(-6.3977000000000004, 53.3934)
197	1	(-6.3919699999999997, 53.393999999999998)
200	1	(-6.2585100000000002, 53.356999999999999)
202	1	(-6.25793, 53.357199999999999)
203	1	(-6.25793, 53.357199999999999)
206	1	(-6.2594500000000002, 53.356499999999997)
207	1	(-6.2629999999999999, 53.354799999999997)
211	7	(-6.1207400000000005, 53.393500000000003) (-6.1265800000000006, 53.396900000000002) (-6.1292599999999995, 53.400500000000001) (-6.1330300000000006, 53.404600000000002) (-6.1361600000000003, 53.408700000000003) (-6.1364300000000007, 53.421599999999998) (-6.1161699999999994, 53.3917)
219	2	(-6.2295199999999999, 53.4251) (-6.2295199999999999, 53.4251)
220	2	(-6.2419199999999995, 53.428999999999995) (-6.2419199999999995, 53.428999999999995)
222	4	(-6.1266800000000003, 53.397199999999998) (-6.1294399999999998, 53.400599999999997) (-6.1294399999999998, 53.400599999999997) (-6.1247300000000005, 53.443399999999997)
227	1	(-6.1161699999999994, 53.3917)
230	1	(-6.2298499999999999, 53.432499999999997)
235	1	(-6.2384300000000001, 53.428199999999997)
244	3	(-6.2550999999999997, 53.3491) (-6.2552500000000002, 53.3491) (-6.2552699999999994, 53.349200000000003)
