7401	0.120662	7398
7402	5e-05	966
7403	0.114633	7398
7404	0.22985	7398
7405	0.160084	7397
7406	0.204944	7398
7407	0.000111803	4015
7408	0.138686	7398
7409	0.155314	7398
7410	1.10999	5618
7411	0.00018	2545
7412	0.170772	7393
7413	1.61847	1706
7414	0.717941	6156
7415	1.18791	5227
7416	0.0135078	2766
7417	1.2381	4847
7418	0	2770
7419	1.72631	5227
7420	0.000624403	4863
7421	1.69238	5227
7422	1.56723	5227
7423	1.26886	5227
7424	0.0156884	6873
7425	1.52664	5227
7426	1.94125	5227
7427	1.76079	5227
7428	1.52504	5227
7429	2.30047	1717
7430	1.69581	3730
7431	1.55592	3731
7432	1.65766	3721
7433	1.90402	1717
7434	1.67589	1717
7435	0.0411006	3723
7436	0.0079432	4806
7437	2.26066	3730
7438	0.000308058	4970
7439	1.82119	3741
7440	1e-05	6871
7441	2.35413	1894
7442	2.05466	3730
7443	0.00805658	353
7444	0.000223607	1310
7445	0.987684	3731
7446	2e-05	2912
7447	0.00348914	1345
7448	0.000948683	281
7449	2.56809	1894
7450	2e-05	4973
7451	2.18242	1894
7452	1.75359	3730
7453	2.76439	1894
7454	0.000107703	4954
7455	1.50616	2902
7456	2.41451	3730
7457	0.000156205	5004
7458	2.35463	3730
7459	1e-05	4902
7460	1.77789	1717
7461	0.0112136	4806
7462	0.17668	1741
7463	0.77132	3742
7464	0.000513275	2866
7465	0.0004272	4918
7466	2.54685	3732
7467	0.00010198	4970
7468	0	4914
7469	2.01215	1717
7470	0.00387451	4821
7471	2.2846	3730
7472	1e-05	4986
7473	2.73147	1894
7474	0.0001	6865
7475	2.50962	1894
7476	5e-05	6865
7477	1.84999	3730
7478	0.00225594	473
7479	0.00161576	2084
7480	0.684096	5783
7481	0.69319	5764
7482	0.0277422	2088
7483	0.474025	5760
7484	0.379709	5764
7485	3.34376	5766
7486	0.386047	5764
Average time : 4.23582 seconds per query
